,id,popularity,title,vote_average,vote_count
0,862,22.773,Toy Story,7.9,9550
1,8844,2.947,Jumanji,7.1,5594
2,15602,6.076,Grumpier Old Men,6.5,140
4,11862,6.817,Father of the Bride Part II,6.1,288
5,949,13.666,Heat,7.8,3002
6,11860,6.177,Sabrina,6.1,260
8,9091,5.89,Sudden Death,5.7,279
9,710,16.629,GoldenEye,6.8,1853
10,9087,6.165,The American President,6.6,299
11,12110,8.435,Dracula: Dead and Loving It,5.8,366
12,21032,8.735,Balto,7.2,947
13,10858,5.835,Nixon,7.0,123
14,1408,7.02,Cutthroat Island,5.8,221
15,524,12.757,Casino,7.9,2283
16,4584,8.861,Sense and Sensibility,7.4,647
17,5,8.995,Four Rooms,6.3,1089
18,9273,8.87,Ace Ventura: When Nature Calls,6.2,2019
19,11517,7.826,Money Train,5.6,335
20,8012,10.099,Get Shorty,6.5,451
21,1710,5.32,Copycat,6.5,382
22,9691,8.278,Assassins,6.2,624
23,12665,7.691,Powder,6.4,218
24,451,11.543,Leaving Las Vegas,7.2,567
25,16420,3.732,Othello,6.6,60
26,9263,7.539,Now and Then,6.8,152
27,17015,3.941,Persuasion,7.6,52
28,902,9.141,The City of Lost Children,7.5,465
30,9909,6.308,Dangerous Minds,6.5,402
31,63,14.048,Twelve Monkeys,7.5,4106
33,9598,10.096,Babe,6.1,1425
35,687,7.113,Dead Man Walking,7.4,595
38,9603,10.455,Clueless,7.1,1691
41,11443,5.585,Dead Presidents,6.6,113
43,9312,10.225,Mortal Kombat,5.6,835
44,577,6.814,To Die For,6.7,303
45,11861,6.04,How to Make an American Quilt,6.3,70
46,807,23.323,Se7en,8.3,9940
47,10530,11.145,Pocahontas,6.9,2932
48,8391,3.0,When Night Is Falling,6.6,28
49,629,14.51,The Usual Suspects,8.2,5341
51,11448,5.752,Mighty Aphrodite,6.7,245
53,26441,3.866,The Big Green,5.1,67
56,9089,4.715,Home for the Holidays,6.3,68
57,11010,7.443,The Postman,7.9,417
59,11359,5.893,The Indian in the Cupboard,6.0,246
60,17182,5.058,Eye for an Eye,6.0,107
61,2054,5.998,Mr. Holland's Opus,7.1,165
62,10607,8.749,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,329
63,19760,2.177,Two If by Sea,4.8,28
64,9536,7.166,Bio-Dome,4.4,169
65,11525,4.029,Lawnmower Man 2: Beyond Cyberspace,2.9,57
67,4482,5.332,French Twist,6.2,116
68,10634,8.616,Friday,7.1,783
69,755,13.908,From Dusk Till Dawn,6.9,2810
70,11859,6.247,Fair Game,4.1,94
73,20927,3.725,Bed of Roses,5.3,42
75,9102,7.377,Screamers,6.2,224
78,9623,6.175,The Juror,5.5,141
80,400,7.27,Things to Do in Denver When You're Dead,6.6,148
81,880,3.016,Antonia's Line,7.4,48
84,8447,1.909,Angels and Insects,6.5,22
85,10534,6.647,White Squall,6.3,142
86,17414,5.644,Dunston Checks In,5.1,96
87,13997,6.482,Black Sheep,6.0,158
88,2086,6.264,Nick of Time,6.1,304
90,9095,6.449,Mary Reilly,5.8,124
91,12158,5.413,Vampire in Brooklyn,4.7,204
92,9283,5.721,Beautiful Girls,6.8,172
93,9208,9.785,Broken Arrow,5.9,671
95,406,7.631,La Haine,8.0,1332
98,11062,6.438,City Hall,6.1,105
99,13685,7.843,Bottle Rocket,6.8,437
101,2045,3.258,Unforgettable,5.6,40
102,9614,13.288,Happy Gilmore,6.5,1229
103,688,9.167,The Bridges of Madison County,7.5,739
104,11907,0.6,Nobody Loves Me,4.9,7
105,10874,5.451,Muppet Treasure Island,6.4,153
108,197,17.3,Braveheart,7.9,5217
109,103,15.527,Taxi Driver,8.1,4815
115,16934,1.599,The Young Poisoner's Handbook,7.1,27
116,10324,1.861,If Lucy Fell,4.8,21
120,11066,6.87,Boomerang,5.5,232
121,11104,6.95,Chungking Express,8.0,441
123,2074,6.046,Flirting with Disaster,6.2,99
130,11863,6.053,Jade,5.2,79
133,9101,6.249,Down Periscope,5.8,147
135,5757,0.6,Man of the Year,3.8,2
138,9302,5.092,Up Close & Personal,6.2,91
139,11000,7.715,The Birdcage,7.0,500
142,16388,2.446,The Brothers McMullen,6.0,37
143,9737,10.498,Bad Boys,6.6,2761
145,10474,7.629,The Basketball Diaries,7.3,795
146,22279,2.395,An Awfully Big Adventure,6.5,16
148,568,25.637,Apollo 13,7.4,2655
149,11780,7.825,Rob Roy,6.7,257
151,414,10.796,Batman Forever,5.3,2597
152,649,8.597,Belle de Jour,7.5,289
153,1873,1.715,Beyond Rangoon,6.8,30
154,5894,3.674,Blue in the Face,6.9,53
155,1775,5.809,Canadian Bacon,5.9,90
156,8839,11.041,Casper,6.2,2182
157,20649,6.056,Clockers,6.9,112
158,10329,8.594,Congo,5.2,353
159,8963,10.57,Crimson Tide,7.1,771
